Subscribers,trf,age,gndr,tenure,age_dev,dev_man,device_os_name,is_dualsim,is_featurephone,is_smartphone,simcard_type,region,call_frq_l1m,call_frq_l3m,call_frq_l6m,call_dur_l1m,call_dur_l3m,call_dur_l6m,call_dur_avg_l1m,call_dur_avg_l3m,call_dur_avg_l6m,call_onnet_frq_l1m,call_onnet_frq_l3m,call_onnet_frq_l6m,call_onnet_dur_l1m,call_onnet_dur_l3m,call_onnet_dur_l6m,call_onnet_dur_avg_l1m,call_onnet_dur_avg_l3m,call_onnet_dur_avg_l6m,call_offnet_frq_l1m,call_offnet_frq_l3m,call_offnet_frq_l6m,call_offnet_dur_l1m,call_offnet_dur_l3m,call_offnet_dur_l6m,call_offnet_dur_avg_l1m,call_offnet_dur_avg_l3m,call_offnet_dur_avg_l6m,sms_frq_l1m,sms_frq_l3m,sms_frq_l6m,data_usg_l1m,data_usg_l3m,data_usg_l6m,data_usg_avg_l3m,total_mon_val_l1m,total_mon_val_l3m,total_mon_val_l6m,refill_total_l1m,refill_total_l3m,refill_total_l6m,refill_frq_l1m,refill_frq_l3m,refill_frq_l6m,roam_mon_val_l1m,roam_mon_val_l3m,roam_mon_val_l6m,callout_total_dur,callout_total_dur_l3m,quota_daily_pack,quota_monthly_pack,quota_serbest_pack,quota_gencol_pack,data_usg_daily_pack,data_usg_serbest_pack_main,data_usg_gencol_pack,data_usg_monthly_pack,data_usg_night_hours,data_usg_unlmt_pack,data_usg_weekly_pack,data_usg_night_hours_l3m,data_usg_unlmt_pack_l3m,dpi_facebook,dpi_facebook_messaging,dpi_facebook_voip,dpi_facebook_video,dpi_instagram,dpi_linkedin,dpi_tik_tok,dpi_twitter,dpi_whatsaap,dpi_whatsaap_messaging,dpi_whatsaap_voip,dpi_youtube,dpi_microsoft_teams_l1m,dpi_telegram_l1m,dpi_telegram_voip_l1m,data_pack_rev_l1m,data_pyg_rev_l1m,data_usg_rev_l1m,data_usg_rev_l3m,data_complete_rev_l6m,call_out_offnet_rev_l1m,call_out_onnet_rev_l1m,call_out_offnet_rev_l3m,call_out_onnet_rev_l3m,call_out_offnet_rev_l6m,call_out_onnet_rev_l6m,sms_onnnet_arpu_l3m,sms_offnet_arpu_l3m,sms_onnnet_arpu_l6m,sms_offnet_arpu_l6m,susp_day_count_6m,silentdaycount
sub1,Azercellim,50,M,175,171,Xiaomi,Android OS,1,0,1,4G,SUMQAYIT,1.15,1.15,28.75,205.85001,205.85001,4115.8501,205.85001,205.85001,164.634,0,0,10.35,0,0,2935.95,0,0,326.22052,0,0,16.1,0,0,946.45001,0,0,67.608498,39.099998,71.300003,113.85,707.65247,1079.3096,1585.9304,359.76984,3.45,10.35,10.4765,34.5,52.900002,66.699997,1.15,4.5999999,6.9000001,0,0,0,0,0,0,575,0,0,0,0,0,573.84998,8.0500002,0,0,8.0500002,0,150.64999,1.15,0,187.45,0,0,0,0,0,0,0,33.349998,0,0,0,3.45,0,3.45,10.35,10.35,0,0,0,0,0.12650003,4.73E-08,0,0,0,0,0,18.4
sub2,Azercellim,41,M,590,252,Samsung,Android OS,1,0,1,4G,ABSHERON,493.35001,1608.85,4215.8999,39319.648,136603.91,309157.94,91.654999,97.646507,84.329498,108.1,374.89999,1171.85,6055.8999,26703,73782.852,64.423004,81.914505,72.403999,213.89999,680.79999,1650.25,19574.15,64055,136687.84,105.2365,108.2035,95.254501,42.549999,162.14999,343.85001,3763.4556,11210.925,24590.439,3736.9746,29.934502,88.584496,178.6295,29.9,88.550003,178.25,2.3,4.5999999,9.1999998,0,0,0,25819.801,91290.453,0,0,0,0,0,0,0,0,52.900002,0,0,1077.55,0,622.15002,4.5999999,0,522.09998,533.59998,0,0,0,0,46,10.35,19.549999,0.004994488,494.33786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sub3,Azercellim,41,M,1533,923,Xiaomi,Android OS,1,0,1,4G,GORANBOY,1785.95,5026.6499,10954.9,143859.25,458955.81,896074.25,92.6325,104.995,94.07,847.54999,2351.75,4696.6001,71350.602,243321.59,439311.5,96.806999,118.979,107.571,672.75,1889.45,4521.7998,57000.898,169625,358284.81,97.439507,103.2355,91.114502,17.25,56.349998,115,2182.1135,11192.743,20927.873,3730.9146,29.060501,87.675995,175.605,28.75,82.800003,175.95,1.15,4.5999999,11.5,0,0,0,128898.9,413745.84,0,0,0,0,0,0,0,0,230,0,0,2837.05,0,2.3,0,0,1.15,3.45,0,621,0,0,13.8,456.54999,240.35001,0.074797772,0,0,0,0,0,0,0.64399999,0.138,0,0.138,0,0.82800001,0,0,0.115,0,0.115,0,0
sub4,Azercellim,33,M,720,128,Samsung,Android OS,1,0,1,4G,BAKI,1618.05,4919.7002,8792.9004,152663.66,414990.16,714806.63,108.50249,97.002495,93.483498,530.15002,1518,2873.8501,46594.551,114165.1,204498.75,101.0735,86.491501,81.834007,540.5,1667.5,2763.45,52995.449,155216.66,242676.45,112.7575,107.042,100.993,169.05,517.5,1051.1,6463.0459,24674.135,62498.613,8224.7119,29.072001,92.138,178.81351,21.114,90.343994,178.53751,4.5999999,16.1,35.650002,0,0,0,99912,271538,0,0,0,0,0,0,0,0,256.45001,0,0,1169.55,0,763.59998,4.5999999,0,1926.25,0,1.15,339.25,0,0,59.799999,364.54999,35.650002,0.7577759,2.7273676,0,0,0,0,0,0,0,0,1.288,1.173,1.288,1.173,0,0.115,0.115,0.34500003,0,0
sub5,Azercellim,40,M,964,382,Samsung,Android OS,1,0,1,4G,ABSHERON,1098.25,4035.3501,8083.3501,138967.16,469793.41,829009.69,145.521,133.883,117.944,731.40002,2457.55,4711.5498,96180.25,281865,472663.81,151.22501,131.89351,115.368,182.85001,786.59998,1649.1,24377.699,114496.3,202017.05,153.31801,167.394,140.875,579.59998,2063.1001,3784.6499,28185.107,96238.414,207396.16,32079.473,85.709496,333.47702,583.67102,83.811996,331.29199,579.79553,46,169.05,277.14999,0,0,0,121681.5,397965.56,0,0,0,0,0,0,0,0,301.29999,26046.35,0,2222.95,92759,324.29999,3.45,0,72.449997,9.1999998,0,21163.449,0,0,50.599998,196.64999,1055.7,1.2883278,0.12885976,0,0,0,21.619999,57.614998,481.091,0.207,0,10.005,0,10.971,0.138,0,0.057500001,0,0.115,0,0
sub6,Azercellim,36,F,351,0,,,0,1,0,4G,ABSHERON,5.75,20.700001,49.450001,187.45,847.54999,1733.05,37.489998,47.080997,40.307499,0,0,0,0,0,0,0,0,0,0,0,4.5999999,0,0,109.25,0,0,27.3125,17.25,50.599998,185.14999,0,1.955,28.773001,0.65166664,0,0.414,6.1524997,2.3,4.5999999,6.9000001,1.15,2.3,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414,5.8189998,0,0,0,0,0.27599999,0,0,0,0,0,148.35001,33.349998
sub7,Azercellim,58,M,1178,118,Hmd Global Oy,Proprietary,1,1,0,4G,ABSHERON,966,3213.1001,6366.3999,171145.3,472577.56,1109570.6,203.7455,169.142,200.43349,442.75,1396.1,2938.25,134433.84,354879.66,872569.38,349.1745,292.31851,341.5155,220.8,710.70001,1458.2,21015.1,62018.352,133449.45,109.457,100.349,105.24799,50.599998,154.10001,273.70001,11.73,61.2145,83.041496,20.404835,28.75,86.25,143.75,28.75,86.25,172.5,1.15,3.45,6.9000001,0,0,0,155448.95,418833.44,0,0,0,0,0,0,0,0,2.3,0,0,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sub8,Azercellim,41,M,1061,138,Xiaomi,Android OS,1,0,1,4G,BAKI,725.65002,2419.6001,5361.2998,64006.699,199010.95,431861.81,101.4415,94.587502,92.6325,106.95,386.39999,1000.5,12468.3,39516.301,99922.352,134.067,117.6105,114.8505,397.89999,1373.1,2930.2,30028.801,100950.45,215464,86.790504,84.547997,84.559502,18.4,77.050003,164.45,5778.9805,17629.018,34960.945,5876.3389,28.75,87.307999,173.558,28.75,92,178.25,1.15,3.45,6.9000001,0,0,0,42497.102,140466.75,0,0,0,0,0,0,0,0,696.90002,0,0,1163.8,0,1024.65,3.45,0,601.45001,711.84998,0,803.84998,0,0,19.549999,269.10001,293.25,0,11.660236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sub9,Serbest25,32,M,136,8,Xiaomi,Android OS,1,0,1,4G,BAKI,1271.9,4045.7,6070.8501,93687.047,287600.06,448723.09,84.709007,81.753494,84.996506,216.2,661.25,1007.4,16143.7,55661.148,79747.898,85.870499,96.806999,91.034004,585.34998,1721.55,2396.6001,43327.398,121640.1,187788.09,85.122993,81.259003,90.113998,316.25,895.84998,1232.8,16022.835,60145.242,102911.53,20048.414,34.615002,126.7645,214.912,34.5,127.30499,215.855,3.45,16.1,24.15,0,0,0,59758.602,178209.75,0,0,0,0,0,15968.9,0,0,3836.3999,0,0,19691.449,2.3,1009.7,13.8,0,79.349998,1022.35,0,2458.7,0,0,39.099998,4113.5498,1196,9.3719969,907.15356,0,0,0,0,0,0.1495,0.89699996,0,0.89699996,1.173,3.036,1.173,0,0.46000001,0.17250001,1.0925,0,0
sub10,Azercellim,32,M,1008,402,Xiaomi,Android OS,1,0,1,4G,ABSHERON,1554.8,4953.0498,9890,85482.953,300022.34,603800.63,63.227001,69.655502,70.207497,610.65002,2015.95,4182.5498,42524.699,146069.55,284660.66,80.085999,83.329002,78.268997,494.5,1532.95,2908.3501,21208.301,83232.398,170955.55,49.323498,62.445,67.597,32.200001,240.35001,422.04999,0,1671.8929,3249.6355,557.29767,17.411001,50.473499,110.101,19.549999,50.599998,112.7,2.3,5.75,12.65,0,0,0,63820.398,229389.34,0,0,0,0,0,0,0,0,0,0,0,1101.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.035,1.288,1.311,1.7709999,6.9000001,5.7270002,0,0,0,0.057500001,0,0
